,seed,sample,scale,j,c,ARS,Nfac,Conv_item_NoARS_Thr_chi,Conv_item_NoARS_Load_chi
1,200802, 250.000,balanced,12.000,5.000,0.000,1.000,1.000,1.000
7,200808, 250.000,balanced,24.000,5.000,0.000,1.000,1.000,1.000
2,200803,1000.000,balanced,12.000,5.000,0.000,1.000,1.000,1.000
8,200809,1000.000,balanced,24.000,5.000,0.000,1.000,1.000,1.000
3,200804, 250.000,semi-balanced,12.000,5.000,0.000,1.000,1.000,1.000
9,200810, 250.000,semi-balanced,24.000,5.000,0.000,1.000,1.000,1.000
4,200805,1000.000,semi-balanced,12.000,5.000,0.000,1.000,1.000,1.000
10,200811,1000.000,semi-balanced,24.000,5.000,0.000,1.000,1.000,1.000
5,200806, 250.000,unbalanced,12.000,5.000,0.000,1.000,1.000,1.000
11,200812, 250.000,unbalanced,24.000,5.000,0.000,1.000,1.000,1.000
6,200807,1000.000,unbalanced,12.000,5.000,0.000,1.000,1.000,1.000
12,200813,1000.000,unbalanced,24.000,5.000,0.000,1.000,1.000,1.000
37,200838, 250.000,balanced,12.000,5.000,0.000,2.000,1.000,1.000
43,200844, 250.000,balanced,24.000,5.000,0.000,2.000,1.000,1.000
38,200839,1000.000,balanced,12.000,5.000,0.000,2.000,1.000,1.000
44,200845,1000.000,balanced,24.000,5.000,0.000,2.000,1.000,1.000
39,200840, 250.000,semi-balanced,12.000,5.000,0.000,2.000,1.000,1.000
45,200846, 250.000,semi-balanced,24.000,5.000,0.000,2.000,1.000,1.000
40,200841,1000.000,semi-balanced,12.000,5.000,0.000,2.000,1.000,1.000
46,200847,1000.000,semi-balanced,24.000,5.000,0.000,2.000,1.000,1.000
41,200842, 250.000,unbalanced,12.000,5.000,0.000,2.000,1.000,1.000
47,200848, 250.000,unbalanced,24.000,5.000,0.000,2.000,1.000,1.000
42,200843,1000.000,unbalanced,12.000,5.000,0.000,2.000,1.000,1.000
48,200849,1000.000,unbalanced,24.000,5.000,0.000,2.000,1.000,1.000
