,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_chi,ARS_Conf_df,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_df,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Load_chi,ARS_Load_df,ARS_Load_RMSEA,ARS_Load_cfi,ARS_Int_chi,ARS_Int_df,ARS_Int_RMSEA,ARS_Int_cfi
49,200850, 250.000,balanced,12.000,5.000,0.300,2.000,111.0 (17.0),104.000,0.015 (0.014),0.992 (0.010),135.2 (18.3),128.000,0.013 (0.013),0.992 (0.011),146.3 (18.9),138.000,0.014 (0.013),0.991 (0.011),154.8 (17.8),147.000,0.013 (0.012),0.992 (0.010)
55,200856, 250.000,balanced,24.000,5.000,0.300,2.000,524.6 (30.0),500.000,0.012 (0.008),0.993 (0.006),571.5 (30.2),548.000,0.012 (0.008),0.994 (0.006),594.9 (29.3),570.000,0.012 (0.008),0.993 (0.006),615.3 (30.2),591.000,0.011 (0.008),0.994 (0.006)
50,200851,1000.000,balanced,12.000,5.000,0.300,2.000,118.3 (17.7),104.000,0.010 (0.007),0.997 (0.003),141.9 (18.6),128.000,0.009 (0.006),0.997 (0.003),152.9 (18.7),138.000,0.009 (0.006),0.997 (0.003),163.3 (19.4),147.000,0.009 (0.006),0.997 (0.003)
56,200857,1000.000,balanced,24.000,5.000,0.300,2.000,543.7 (43.2),500.000,0.008 (0.005),0.997 (0.002),587.7 (43.2),548.000,0.007 (0.005),0.998 (0.002),611.2 (42.5),570.000,0.007 (0.005),0.998 (0.002),632.5 (41.2),591.000,0.007 (0.005),0.998 (0.002)
51,200852, 250.000,semi-balanced,12.000,5.000,0.300,2.000,110.8 (13.7),104.000,0.015 (0.012),0.993 (0.008),135.1 (14.5),128.000,0.013 (0.012),0.992 (0.008),145.1 (14.8),138.000,0.013 (0.011),0.992 (0.009),155.3 (14.8),147.000,0.013 (0.011),0.991 (0.009)
57,200858, 250.000,semi-balanced,24.000,5.000,0.300,2.000,525.8 (30.4),500.000,0.013 (0.008),0.993 (0.006),573.5 (31.2),548.000,0.012 (0.008),0.993 (0.006),596.9 (30.6),570.000,0.012 (0.008),0.993 (0.006),617.1 (32.5),591.000,0.012 (0.008),0.993 (0.007)
52,200853,1000.000,semi-balanced,12.000,5.000,0.300,2.000,114.4 (17.0),104.000,0.009 (0.007),0.997 (0.003),138.5 (18.8),128.000,0.008 (0.007),0.997 (0.003),149.2 (20),138.000,0.008 (0.007),0.997 (0.003),156.7 (20.4),147.000,0.007 (0.006),0.997 (0.003)
58,200859,1000.000,semi-balanced,24.000,5.000,0.300,2.000,545.2 (45.3),500.000,0.009 (0.005),0.997 (0.003),589.9 (45.2),548.000,0.008 (0.005),0.997 (0.002),613.6 (46.7),570.000,0.008 (0.005),0.997 (0.003),634.1 (47.1),591.000,0.008 (0.005),0.997 (0.003)
53,200854, 250.000,unbalanced,12.000,5.000,0.300,2.000,100.1 (11.1),104.000,0.005 (0.009),0.998 (0.004),120.6 (13.5),128.000,0.004 (0.008),0.998 (0.004),136.3 (14.7),138.000,0.007 (0.010),0.997 (0.006),146.3 (15.3),147.000,0.008 (0.010),0.996 (0.006)
59,200860, 250.000,unbalanced,24.000,5.000,0.300,2.000,503.0 (24.4),500.000,0.006 (0.007),0.997 (0.004),547.2 (22.2),548.000,0.005 (0.006),0.998 (0.003),574 (24.1),570.000,0.006 (0.007),0.997 (0.003),598.1 (24.8),591.000,0.007 (0.007),0.997 (0.004)
54,200855,1000.000,unbalanced,12.000,5.000,0.300,2.000,101.5 (12.6),104.000,0.003 (0.005),0.999 (0.001),121.9 (10),128.000,0.002 (0.003),1.000 (0.001),136.3 (14.6),138.000,0.003 (0.005),0.999 (0.002),147.5 (15.2),147.000,0.004 (0.005),0.999 (0.002)
60,200861,1000.000,unbalanced,24.000,5.000,0.300,2.000,503.9 (30.6),500.000,0.004 (0.004),0.999 (0.001),553 (25),548.000,0.004 (0.003),0.999 (0.001),573.8 (32.3),570.000,0.004 (0.004),0.999 (0.001),594.5 (34.5),591.000,0.003 (0.004),0.999 (0.001)
61,200862, 250.000,balanced,12.000,5.000,0.600,2.000,143.1 (24.1),104.000,0.037 (0.013),0.991 (0.006),153.3 (20.5),128.000,0.026 (0.013),0.994 (0.005),165.6 (20.4),138.000,0.026 (0.012),0.993 (0.005),174.8 (21.5),147.000,0.025 (0.012),0.993 (0.005)
67,200868, 250.000,balanced,24.000,5.000,0.600,2.000,611.0 (53.1),500.000,0.029 (0.008),0.992 (0.004),599.7 (40.4),548.000,0.018 (0.009),0.996 (0.003),638.7 (45.2),570.000,0.020 (0.008),0.995 (0.003),660.5 (46.3),591.000,0.020 (0.008),0.995 (0.004)
62,200863,1000.000,balanced,12.000,5.000,0.600,2.000,244.7 (41.6),104.000,0.036 (0.005),0.992 (0.002),214.7 (33.4),128.000,0.026 (0.005),0.995 (0.002),232.4 (33.5),138.000,0.026 (0.005),0.994 (0.002),243 (32.6),147.000,0.025 (0.004),0.994 (0.002)
68,200869,1000.000,balanced,24.000,5.000,0.600,2.000,958.0 (95.4),500.000,0.030 (0.003),0.991 (0.002),752.6 (60.2),548.000,0.019 (0.003),0.996 (0.001),845.1 (68.1),570.000,0.022 (0.003),0.995 (0.001),869.9 (69.1),591.000,0.022 (0.003),0.995 (0.001)
63,200864, 250.000,semi-balanced,12.000,5.000,0.600,2.000,159.7 (24.5),104.000,0.045 (0.011),0.992 (0.003),155.9 (19.8),128.000,0.027 (0.012),0.996 (0.003),168.1 (20.7),138.000,0.027 (0.012),0.996 (0.003),179.1 (21.5),147.000,0.028 (0.011),0.996 (0.003)
69,200870, 250.000,semi-balanced,24.000,5.000,0.600,2.000,651.9 (57.2),500.000,0.034 (0.007),0.994 (0.002),607.1 (34.2),548.000,0.020 (0.007),0.998 (0.001),643.6 (37.2),570.000,0.022 (0.006),0.997 (0.001),663.9 (37.1),591.000,0.021 (0.006),0.997 (0.001)
64,200865,1000.000,semi-balanced,12.000,5.000,0.600,2.000,326.5 (58.8),104.000,0.046 (0.006),0.992 (0.002),229.6 (39.6),128.000,0.028 (0.006),0.996 (0.001),249.4 (40.3),138.000,0.028 (0.005),0.996 (0.001),266.3 (42.9),147.000,0.028 (0.005),0.996 (0.002)
