,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_chi,NoARS_Conf_df,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_df,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Load_chi,NoARS_Load_df,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Int_chi,NoARS_Int_df,NoARS_Int_RMSEA,NoARS_Int_cfi
1,200802, 250.000,balanced,12.000,5.000,0.000,1.000,112.1 (13.4),108.000,0.012 (0.012),0.997 (0.004),136.2 (14.2),132.000,0.011 (0.011),0.996 (0.004),146 (14.7),143.000,0.010 (0.011),0.997 (0.005),155.9 (14.6),NA,0.009 (0.010),0.997 (0.004)
7,200808, 250.000,balanced,24.000,5.000,0.000,1.000,518.9 (22.3),504.000,0.010 (0.007),0.997 (0.003),567.2 (23.6),552.000,0.009 (0.007),0.997 (0.003),588.6 (25.4),575.000,0.009 (0.007),0.997 (0.003),610.8 (25.9),NA,0.008 (0.007),0.997 (0.003)
2,200803,1000.000,balanced,12.000,5.000,0.000,1.000,110.2 (14.4),108.000,0.005 (0.006),0.999 (0.001),135.1 (15.6),132.000,0.005 (0.006),0.999 (0.001),146.2 (15.6),143.000,0.005 (0.005),0.999 (0.001),157.3 (15.7),NA,0.005 (0.005),0.999 (0.001)
8,200809,1000.000,balanced,24.000,5.000,0.000,1.000,512.0 (32.0),504.000,0.004 (0.004),0.999 (0.001),560.7 (32.5),552.000,0.004 (0.004),0.999 (0.001),582.7 (34.1),575.000,0.004 (0.004),0.999 (0.001),604.3 (33.7),NA,0.004 (0.004),0.999 (0.001)
3,200804, 250.000,semi-balanced,12.000,5.000,0.000,1.000,108.0 (12.6),108.000,0.009 (0.011),0.998 (0.003),131.6 (13.3),132.000,0.008 (0.010),0.998 (0.003),142.9 (14.3),143.000,0.009 (0.010),0.997 (0.003),154.4 (16.3),NA,0.009 (0.010),0.997 (0.004)
9,200810, 250.000,semi-balanced,24.000,5.000,0.000,1.000,513.3 (22.6),504.000,0.008 (0.007),0.998 (0.003),561.6 (23.1),552.000,0.008 (0.007),0.998 (0.003),587.1 (25.2),575.000,0.009 (0.007),0.997 (0.003),609.4 (25.9),NA,0.008 (0.007),0.997 (0.003)
4,200805,1000.000,semi-balanced,12.000,5.000,0.000,1.000,109.8 (15.8),108.000,0.006 (0.006),0.999 (0.001),133.8 (16.7),132.000,0.005 (0.006),0.999 (0.001),146 (19.2),143.000,0.006 (0.006),0.999 (0.001),156.8 (18.5),NA,0.005 (0.006),0.999 (0.001)
10,200811,1000.000,semi-balanced,24.000,5.000,0.000,1.000,504.2 (25.8),504.000,0.003 (0.003),1.000 (0.001),552.1 (26.3),552.000,0.003 (0.003),1.000 (0.001),578.6 (27.5),575.000,0.003 (0.004),1.000 (0.001),599.2 (28.1),NA,0.003 (0.004),1.000 (0.001)
5,200806, 250.000,unbalanced,12.000,5.000,0.000,1.000,110.2 (12.3),108.000,0.010 (0.011),0.997 (0.004),134.6 (13.8),132.000,0.010 (0.010),0.997 (0.004),146.4 (15.6),143.000,0.010 (0.011),0.997 (0.005),156.6 (14.8),NA,0.010 (0.010),0.997 (0.005)
11,200812, 250.000,unbalanced,24.000,5.000,0.000,1.000,514.4 (22.4),504.000,0.008 (0.007),0.998 (0.003),562.7 (22.9),552.000,0.008 (0.007),0.998 (0.003),586.8 (24.6),575.000,0.009 (0.007),0.997 (0.003),609.3 (25.5),NA,0.008 (0.007),0.997 (0.003)
