,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Thr_comb,ARS_Load_chi,ARS_Load_RMSEA,ARS_Load_cfi,ARS_Load_comb,ARS_Int_chi,ARS_Int_RMSEA,ARS_Int_cfi,ARS_Int_comb
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.070,0.010,0.000,0.000,0.000,0.090,0.010,0.050,0.000,0.080,0.010,0.030
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.040,0.000,0.040,0.000,0.010,0.000,0.000
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.020,0.000,0.020,0.000,0.020,0.000,0.020
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.030,0.010,0.000,0.000,0.000,0.140,0.010,0.070,0.000,0.080,0.000,0.040
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.020,0.000,0.020,0.000,0.010,0.000,0.010
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.060,0.000,0.050,0.000,0.000,0.000,0.000
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,0.000,0.000,0.020,0.028,0.000,0.000,0.000,0.067,0.000,0.030,0.000,0.096,0.000,0.010
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.027,0.000,0.020,0.000,0.020,0.000,0.010
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,0.000,0.000,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,0.000,0.000,0.190,0.100,0.000,0.000,0.000,0.240,0.000,0.120,0.000,0.020,0.000,0.010
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.221,0.000,0.210,0.000,0.000,0.000,0.000
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,0.000,0.000,0.240,0.020,0.000,0.000,0.000,0.050,0.000,0.050,0.000,0.000,0.000,0.000
32,200833,1000.000,balanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.010,0.000,0.000,0.000,0.000
27,200828, 250.000,semi-balanced,12.000,5.000,0.600,1.000,0.000,0.000,0.090,0.050,0.000,0.000,0.000,0.170,0.000,0.090,0.000,0.040,0.000,0.030
33,200834, 250.000,semi-balanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.309,0.000,0.290,0.000,0.000,0.000,0.000
28,200829,1000.000,semi-balanced,12.000,5.000,0.600,1.000,0.000,0.000,0.060,0.010,0.000,0.000,0.000,0.210,0.000,0.210,0.000,0.000,0.000,0.000
34,200835,1000.000,semi-balanced,24.000,5.000,0.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.000,0.070,0.000,0.000,0.000,0.000
29,200830, 250.000,unbalanced,12.000,5.000,0.600,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.351,0.000,0.110,0.000,0.034,0.000,0.000
35,200836, 250.000,unbalanced,24.000,5.000,0.600,1.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.043,0.000,0.010,0.000,0.000,0.000,0.000
30,200831,1000.000,unbalanced,12.000,5.000,0.600,1.000,0.000,0.000,0.110,0.000,0.000,0.000,0.000,0.179,0.000,0.100,0.000,0.013,0.000,0.000
36,200837,1000.000,unbalanced,24.000,5.000,0.600,1.000,0.000,0.000,0.210,0.000,0.000,0.000,0.000,0.036,0.000,0.030,0.000,0.000,0.000,0.000
