,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Thr_comb,NoARS_Load_chi,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Load_comb,NoARS_Int_chi,NoARS_Int_RMSEA,NoARS_Int_cfi,NoARS_Int_comb
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.060,0.000,0.000,0.000,0.080,0.030,0.010,0.030,0.930,0.790,0.800,0.840
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.050,0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.980,0.190,0.330,0.370
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.020,0.000,0.000,0.000,0.230,0.000,0.000,0.000,1.000,0.980,0.990,0.990
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.010,0.000,0.000,0.000,0.310,0.000,0.000,0.000,1.000,0.300,0.650,0.650
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.080,0.030,0.010,0.010,0.880,0.610,0.590,0.680
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.060,0.000,0.000,0.000,0.110,0.000,0.000,0.000,1.000,0.240,0.340,0.420
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.090,0.000,0.000,0.000,0.060,0.000,0.000,0.000,1.000,0.850,0.840,0.880
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.070,0.000,0.000,0.000,0.100,0.000,0.000,0.000,1.000,0.240,0.620,0.620
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,0.000,0.000,0.050,0.010,0.000,0.010,0.100,0.160,0.010,0.060,0.210,0.210,0.030,0.140
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,0.000,0.000,0.050,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.220,0.120,0.000,0.120
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,0.000,0.000,0.070,0.000,0.000,0.000,0.190,0.100,0.000,0.100,0.550,0.190,0.000,0.190
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.900,0.060,0.000,0.060
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,1.000,0.290,0.090,0.000,0.000,0.000,0.810,0.000,0.000,0.000,1.000,0.640,0.800,0.820
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,1.000,0.760,0.060,0.000,0.000,0.000,0.720,0.000,0.000,0.000,1.000,0.000,0.030,0.030
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,1.000,0.310,0.140,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.760,0.980,0.980
32,200833,1000.000,balanced,24.000,5.000,0.600,1.000,1.000,0.990,0.210,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.010,0.010
27,200828, 250.000,semi-balanced,12.000,5.000,0.600,1.000,1.000,0.310,0.050,0.000,0.000,0.000,0.760,0.000,0.000,0.000,1.000,0.060,0.060,0.100
33,200834, 250.000,semi-balanced,24.000,5.000,0.600,1.000,1.000,0.330,0.060,0.000,0.000,0.000,0.620,0.000,0.000,0.000,1.000,0.000,0.000,0.000
28,200829,1000.000,semi-balanced,12.000,5.000,0.600,1.000,1.000,0.200,0.190,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.010,0.020,0.030
34,200835,1000.000,semi-balanced,24.000,5.000,0.600,1.000,1.000,0.440,0.280,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
29,200830, 250.000,unbalanced,12.000,5.000,0.600,1.000,0.000,0.000,0.070,0.050,0.000,0.040,0.150,0.250,0.000,0.110,0.100,0.090,0.000,0.080
35,200836, 250.000,unbalanced,24.000,5.000,0.600,1.000,0.000,0.000,0.080,0.000,0.000,0.000,0.080,0.030,0.000,0.020,0.190,0.060,0.000,0.050
30,200831,1000.000,unbalanced,12.000,5.000,0.600,1.000,0.000,0.000,0.130,0.000,0.000,0.000,0.600,0.340,0.000,0.340,0.310,0.030,0.000,0.030
36,200837,1000.000,unbalanced,24.000,5.000,0.600,1.000,0.000,0.000,0.120,0.000,0.000,0.000,0.560,0.030,0.000,0.030,0.860,0.000,0.000,0.000
