,seed,sample,scale,j,c,ARS,Nfac,item_NoARS_Thr_chi,item_NoARS_Load_chi,item_ARS_Thr_chi,item_ARS_Load_chi
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,0.055,0.050,0.052,0.054
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,0.050,0.048,0.048,0.044
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,0.051,0.047,0.052,0.046
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,0.048,0.051,0.047,0.051
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,0.061,0.068,0.057,0.052
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,0.051,0.050,0.048,0.050
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,0.059,0.066,0.050,0.061
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,0.053,0.055,0.054,0.055
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,0.048,0.047,0.028,0.018
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,0.050,0.050,0.034,0.029
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,0.045,0.049,0.017,0.021
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,0.047,0.049,0.021,0.020
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,0.071,0.070,0.061,0.056
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,0.047,0.050,0.051,0.123
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,0.095,0.101,0.056,0.091
32,200833,1000.000,balanced,24.000,5.000,0.600,1.000,0.058,0.055,0.073,0.272
27,200828, 250.000,semi-balanced,12.000,5.000,0.600,1.000,0.089,0.090,0.058,0.068
33,200834, 250.000,semi-balanced,24.000,5.000,0.600,1.000,0.063,0.062,0.060,0.129
28,200829,1000.000,semi-balanced,12.000,5.000,0.600,1.000,0.155,0.162,0.092,0.103
34,200835,1000.000,semi-balanced,24.000,5.000,0.600,1.000,0.061,0.059,0.074,0.263
29,200830, 250.000,unbalanced,12.000,5.000,0.600,1.000,0.054,0.061,0.030,0.037
35,200836, 250.000,unbalanced,24.000,5.000,0.600,1.000,0.052,0.052,0.032,0.033
30,200831,1000.000,unbalanced,12.000,5.000,0.600,1.000,0.070,0.064,0.036,0.027
36,200837,1000.000,unbalanced,24.000,5.000,0.600,1.000,0.066,0.066,0.042,0.031
