,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_chi,ARS_Conf_df,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_df,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Load_chi,ARS_Load_df,ARS_Load_RMSEA,ARS_Load_cfi,ARS_Int_chi,ARS_Int_df,ARS_Int_RMSEA,ARS_Int_cfi
49,200850, 250.000,balanced,12.000,5.000,0.300,2.000,108.2 (15.2),104.000,0.013 (0.012),0.994 (0.008),132.5 (17),128.000,0.012 (0.012),0.993 (0.009),143 (16.4),138.000,0.012 (0.011),0.993 (0.009),152.7 (16.8),147.000,0.012 (0.011),0.992 (0.009)
55,200856, 250.000,balanced,24.000,5.000,0.300,2.000,514.7 (26.8),500.000,0.010 (0.008),0.995 (0.005),562.9 (27.9),548.000,0.010 (0.007),0.995 (0.005),584.2 (28.3),570.000,0.010 (0.007),0.995 (0.005),603.8 (27.5),591.000,0.009 (0.007),0.995 (0.005)
50,200851,1000.000,balanced,12.000,5.000,0.300,2.000,104.2 (14.4),104.000,0.005 (0.006),0.999 (0.002),127.8 (16),128.000,0.005 (0.005),0.999 (0.002),137 (17.3),138.000,0.004 (0.005),0.999 (0.002),145.6 (17.9),147.000,0.004 (0.005),0.999 (0.002)
56,200857,1000.000,balanced,24.000,5.000,0.300,2.000,507.0 (30.9),500.000,0.004 (0.004),0.999 (0.001),555.1 (31.9),548.000,0.004 (0.004),0.999 (0.001),577.5 (31.2),570.000,0.004 (0.004),0.999 (0.001),596.3 (32.9),591.000,0.004 (0.004),0.999 (0.001)
51,200852, 250.000,semi-balanced,12.000,5.000,0.300,2.000,109.4 (13.4),104.000,0.013 (0.012),0.994 (0.008),134 (15.1),128.000,0.013 (0.012),0.993 (0.008),143.9 (15.5),138.000,0.012 (0.011),0.993 (0.009),152.2 (17.2),147.000,0.012 (0.012),0.993 (0.009)
57,200858, 250.000,semi-balanced,24.000,5.000,0.300,2.000,512.1 (29.1),500.000,0.009 (0.008),0.996 (0.006),560.5 (30.6),548.000,0.008 (0.008),0.995 (0.006),582.7 (31.7),570.000,0.008 (0.008),0.995 (0.006),604.3 (33.8),591.000,0.008 (0.008),0.995 (0.007)
52,200853,1000.000,semi-balanced,12.000,5.000,0.300,2.000,103.9 (14.5),104.000,0.005 (0.006),0.999 (0.002),128 (16),128.000,0.005 (0.005),0.999 (0.002),137.7 (15.7),138.000,0.004 (0.005),0.999 (0.002),146.6 (16.7),147.000,0.004 (0.005),0.999 (0.002)
58,200859,1000.000,semi-balanced,24.000,5.000,0.300,2.000,504.9 (27.2),500.000,0.004 (0.004),0.999 (0.001),552.8 (29.1),548.000,0.004 (0.004),0.999 (0.001),574.7 (28.8),570.000,0.003 (0.004),0.999 (0.001),595 (29.1),591.000,0.003 (0.004),0.999 (0.001)
53,200854, 250.000,unbalanced,12.000,5.000,0.300,2.000,99.0 (13.0),104.000,0.006 (0.009),0.998 (0.005),120.5 (12),128.000,0.004 (0.007),0.999 (0.003),135.2 (15.1),138.000,0.007 (0.010),0.997 (0.006),141.4 (15.8),147.000,0.005 (0.009),0.997 (0.006)
59,200860, 250.000,unbalanced,24.000,5.000,0.300,2.000,494.5 (24.1),500.000,0.004 (0.006),0.998 (0.003),550.3 (22.4),548.000,0.006 (0.006),0.998 (0.003),575.3 (29.9),570.000,0.007 (0.007),0.997 (0.005),592.6 (29),591.000,0.006 (0.007),0.997 (0.004)
54,200855,1000.000,unbalanced,12.000,5.000,0.300,2.000,95.8 (10.2),104.000,0.002 (0.003),1.000 (0.001),117.9 (11.9),128.000,0.001 (0.003),1.000 (0.001),130.4 (13.6),138.000,0.002 (0.004),1.000 (0.001),136.4 (13.8),147.000,0.001 (0.003),1.000 (0.001)
60,200861,1000.000,unbalanced,24.000,5.000,0.300,2.000,480.4 (30.3),500.000,0.001 (0.003),1.000 (0.001),538.8 (31.5),548.000,0.002 (0.003),1.000 (0.001),558.3 (34.9),570.000,0.002 (0.003),0.999 (0.001),574.5 (34.9),591.000,0.002 (0.003),1.000 (0.001)
61,200862, 250.000,balanced,12.000,5.000,0.600,2.000,113.5 (14.2),104.000,0.017 (0.013),0.995 (0.006),136.9 (15),128.000,0.014 (0.012),0.995 (0.006),150.1 (15.9),138.000,0.016 (0.012),0.993 (0.007),158.5 (17),147.000,0.016 (0.012),0.993 (0.007)
67,200868, 250.000,balanced,24.000,5.000,0.600,2.000,539.8 (27.6),500.000,0.017 (0.007),0.994 (0.004),577 (29.3),548.000,0.013 (0.008),0.995 (0.004),610.5 (31.7),570.000,0.016 (0.007),0.994 (0.004),630.5 (33.6),591.000,0.015 (0.008),0.994 (0.004)
62,200863,1000.000,balanced,12.000,5.000,0.600,2.000,134.8 (18.5),104.000,0.016 (0.006),0.996 (0.002),158.1 (20.9),128.000,0.014 (0.006),0.996 (0.002),178 (23),138.000,0.016 (0.006),0.995 (0.003),187.7 (23.7),147.000,0.016 (0.006),0.995 (0.003)
68,200869,1000.000,balanced,24.000,5.000,0.600,2.000,620.7 (39.9),500.000,0.015 (0.003),0.995 (0.001),623.9 (39.1),548.000,0.011 (0.003),0.997 (0.001),696.2 (43.7),570.000,0.015 (0.003),0.995 (0.002),715.2 (44.8),591.000,0.014 (0.003),0.995 (0.002)
63,200864, 250.000,semi-balanced,12.000,5.000,0.600,2.000,111.8 (15.7),104.000,0.016 (0.013),0.995 (0.006),135.2 (17.6),128.000,0.014 (0.013),0.995 (0.006),147.7 (18.6),138.000,0.015 (0.012),0.994 (0.007),156 (18),147.000,0.015 (0.012),0.994 (0.006)
69,200870, 250.000,semi-balanced,24.000,5.000,0.600,2.000,531.6 (28.7),500.000,0.014 (0.008),0.995 (0.004),570.6 (28.8),548.000,0.011 (0.008),0.996 (0.004),601.7 (29.4),570.000,0.013 (0.007),0.995 (0.004),621 (29.5),591.000,0.013 (0.007),0.995 (0.004)
