,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_chi,NoARS_Conf_df,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_df,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Load_chi,NoARS_Load_df,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Int_chi,NoARS_Int_df,NoARS_Int_RMSEA,NoARS_Int_cfi
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,131.4 (16.0),108.000,0.027 (0.012),0.990 (0.007),157.6 (16.9),132.000,0.026 (0.010),0.989 (0.007),167.4 (18.3),143.000,0.024 (0.011),0.989 (0.007),220.8 (32.2),154.000,0.040 (0.011),0.972 (0.014)
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,587.0 (41.5),504.000,0.025 (0.007),0.988 (0.006),636.6 (42.1),552.000,0.024 (0.006),0.988 (0.006),656 (42.6),575.000,0.023 (0.007),0.988 (0.006),749.4 (62),598.000,0.031 (0.007),0.978 (0.009)
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,202.7 (31.2),108.000,0.029 (0.005),0.990 (0.004),234.3 (34.4),132.000,0.027 (0.005),0.989 (0.004),237.7 (32.8),143.000,0.025 (0.005),0.990 (0.004),449.4 (56.2),154.000,0.044 (0.004),0.969 (0.006)
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,861.3 (74.0),504.000,0.026 (0.003),0.987 (0.003),920.8 (76),552.000,0.026 (0.003),0.986 (0.003),925 (75),575.000,0.025 (0.003),0.987 (0.003),1305.4 (108),598.000,0.034 (0.003),0.974 (0.004)
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,129.9 (15.8),108.000,0.026 (0.011),0.991 (0.006),155.2 (17.4),132.000,0.024 (0.011),0.990 (0.007),166.1 (18.5),143.000,0.023 (0.011),0.990 (0.007),202 (27.1),154.000,0.034 (0.011),0.980 (0.011)
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,581.0 (35.6),504.000,0.024 (0.006),0.989 (0.006),631 (36.5),552.000,0.023 (0.006),0.988 (0.006),651.2 (37),575.000,0.022 (0.006),0.989 (0.006),735.3 (45.3),598.000,0.030 (0.005),0.980 (0.007)
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,186.2 (26.7),108.000,0.027 (0.005),0.992 (0.003),216.5 (29.3),132.000,0.025 (0.005),0.991 (0.003),221.6 (30.5),143.000,0.023 (0.005),0.992 (0.003),374.8 (51.5),154.000,0.038 (0.004),0.977 (0.005)
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,852.5 (68.7),504.000,0.026 (0.003),0.987 (0.003),911.6 (70.9),552.000,0.025 (0.003),0.987 (0.003),915.7 (71.9),575.000,0.024 (0.003),0.987 (0.003),1294.8 (100.9),598.000,0.034 (0.002),0.974 (0.004)
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,109.7 (12.7),108.000,0.010 (0.011),0.998 (0.003),133.6 (14.3),132.000,0.010 (0.011),0.998 (0.003),143.3 (15.3),143.000,0.009 (0.010),0.998 (0.004),154.8 (16.7),154.000,0.009 (0.010),0.997 (0.004)
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,516.8 (22.6),504.000,0.009 (0.007),0.998 (0.002),565.3 (23.4),552.000,0.009 (0.007),0.998 (0.002),587.7 (25),575.000,0.008 (0.008),0.998 (0.003),608.8 (24.9),598.000,0.007 (0.007),0.998 (0.003)
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,110.0 (14.8),108.000,0.005 (0.006),0.999 (0.001),134.2 (16.1),132.000,0.005 (0.006),0.999 (0.001),144 (18.3),143.000,0.005 (0.006),0.999 (0.001),154 (19),154.000,0.004 (0.005),0.999 (0.001)
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,512.8 (28.1),504.000,0.004 (0.004),0.999 (0.001),560.8 (29.7),552.000,0.004 (0.004),0.999 (0.001),579.4 (30.4),575.000,0.004 (0.004),0.999 (0.001),597.5 (33),598.000,0.003 (0.003),1.000 (0.001)
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,539.7 (80.1),108.000,0.126 (0.012),0.895 (0.021),597.4 (87.2),132.000,0.118 (0.011),0.886 (0.023),585.4 (85.4),143.000,0.111 (0.011),0.892 (0.022),711.4 (103.7),154.000,0.120 (0.011),0.864 (0.026)
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,1863.9 (243.8),504.000,0.104 (0.009),0.875 (0.026),1952.9 (252.4),552.000,0.101 (0.009),0.871 (0.027),1939.6 (249.7),575.000,0.097 (0.009),0.875 (0.027),2112.6 (264.2),598.000,0.100 (0.009),0.861 (0.029)
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,1927.0 (170.4),108.000,0.130 (0.006),0.885 (0.013),2110.4 (186.8),132.000,0.122 (0.006),0.875 (0.014),2032.2 (184.4),143.000,0.115 (0.006),0.881 (0.014),2600.3 (221.8),154.000,0.126 (0.006),0.846 (0.016)
