,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_chi,NoARS_Conf_df,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_df,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Load_chi,NoARS_Load_df,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Int_chi,NoARS_Int_df,NoARS_Int_RMSEA,NoARS_Int_cfi
1,200802, 250.000,balanced,12.000,5.000,0.000,1.000,110.7 (13.8),108.000,0.011 (0.012),0.997 (0.004),135.1 (14.2),132.000,0.010 (0.011),0.997 (0.004),146.8 (16.9),143.000,0.010 (0.012),0.996 (0.006),158.6 (19.7),154.000,0.012 (0.012),0.995 (0.006)
7,200808, 250.000,balanced,24.000,5.000,0.000,1.000,510.8 (21.5),504.000,0.007 (0.007),0.998 (0.002),558.8 (22.3),552.000,0.007 (0.007),0.998 (0.002),582.7 (24),575.000,0.007 (0.007),0.998 (0.003),605.5 (26.5),598.000,0.007 (0.007),0.998 (0.003)
2,200803,1000.000,balanced,12.000,5.000,0.000,1.000,110.3 (14.3),108.000,0.005 (0.006),0.999 (0.001),134.4 (15.7),132.000,0.005 (0.005),0.999 (0.001),145.4 (17.2),143.000,0.005 (0.006),0.999 (0.001),158.6 (21.4),154.000,0.006 (0.006),0.999 (0.002)
8,200809,1000.000,balanced,24.000,5.000,0.000,1.000,509.1 (26.9),504.000,0.004 (0.004),0.999 (0.001),557.7 (28.8),552.000,0.004 (0.004),0.999 (0.001),579.9 (31.8),575.000,0.004 (0.004),0.999 (0.001),598.5 (36.6),598.000,0.003 (0.004),0.999 (0.001)
3,200804, 250.000,semi-balanced,12.000,5.000,0.000,1.000,108.9 (13.6),108.000,0.010 (0.011),0.997 (0.004),132.5 (15.6),132.000,0.009 (0.011),0.997 (0.004),144.5 (18.2),143.000,0.010 (0.011),0.996 (0.005),154.8 (19.3),154.000,0.009 (0.011),0.997 (0.005)
9,200810, 250.000,semi-balanced,24.000,5.000,0.000,1.000,521.2 (25.5),504.000,0.010 (0.008),0.997 (0.003),570.1 (26.1),552.000,0.010 (0.008),0.997 (0.003),592.9 (28),575.000,0.010 (0.008),0.997 (0.004),615.5 (28.8),598.000,0.010 (0.008),0.997 (0.004)
4,200805,1000.000,semi-balanced,12.000,5.000,0.000,1.000,108.9 (13.3),108.000,0.005 (0.005),0.999 (0.001),133.2 (15),132.000,0.005 (0.005),0.999 (0.001),143 (18.2),143.000,0.005 (0.006),0.999 (0.001),153.4 (17),154.000,0.004 (0.005),0.999 (0.001)
10,200811,1000.000,semi-balanced,24.000,5.000,0.000,1.000,513.5 (24.7),504.000,0.004 (0.004),0.999 (0.001),562.1 (26),552.000,0.004 (0.004),0.999 (0.001),586 (27.1),575.000,0.004 (0.004),0.999 (0.001),611.9 (32.9),598.000,0.004 (0.004),0.999 (0.001)
5,200806, 250.000,unbalanced,12.000,5.000,0.000,1.000,112.2 (12.9),108.000,0.012 (0.011),0.997 (0.004),136.9 (14),132.000,0.012 (0.011),0.996 (0.004),150.9 (17.2),143.000,0.013 (0.012),0.995 (0.006),160.6 (18.2),154.000,0.012 (0.012),0.995 (0.006)
11,200812, 250.000,unbalanced,24.000,5.000,0.000,1.000,515.6 (23.3),504.000,0.008 (0.007),0.997 (0.003),563.8 (24.2),552.000,0.008 (0.007),0.997 (0.003),585.4 (27),575.000,0.007 (0.008),0.997 (0.003),608.9 (26.6),598.000,0.008 (0.007),0.997 (0.003)
6,200807,1000.000,unbalanced,12.000,5.000,0.000,1.000,108.5 (15.2),108.000,0.005 (0.006),0.999 (0.001),133.1 (17.6),132.000,0.005 (0.006),0.999 (0.001),144.8 (18.2),143.000,0.005 (0.006),0.999 (0.001),155.3 (19),154.000,0.005 (0.005),0.999 (0.001)
12,200813,1000.000,unbalanced,24.000,5.000,0.000,1.000,509.3 (26.8),504.000,0.004 (0.004),0.999 (0.001),556.8 (28.2),552.000,0.003 (0.004),0.999 (0.001),578.6 (30.9),575.000,0.003 (0.004),0.999 (0.001),598.6 (34.1),598.000,0.003 (0.004),0.999 (0.001)
37,200838, 250.000,balanced,12.000,5.000,0.000,2.000,110.8 (13.7),106.000,0.013 (0.012),0.993 (0.008),135.5 (15.1),130.000,0.012 (0.011),0.992 (0.009),146.6 (16.1),140.000,0.013 (0.011),0.992 (0.010),155.7 (17.5),150.000,0.012 (0.011),0.992 (0.011)
43,200844, 250.000,balanced,24.000,5.000,0.000,2.000,516.8 (26.0),502.000,0.010 (0.008),0.995 (0.006),565.1 (26.5),550.000,0.009 (0.008),0.995 (0.006),586.6 (27.6),572.000,0.009 (0.008),0.995 (0.006),609.7 (26.4),594.000,0.009 (0.008),0.995 (0.006)
38,200839,1000.000,balanced,12.000,5.000,0.000,2.000,105.7 (14.3),106.000,0.005 (0.006),0.999 (0.002),129.3 (16.3),130.000,0.004 (0.005),0.999 (0.002),138.6 (17.8),140.000,0.004 (0.005),0.999 (0.002),149.3 (18.4),150.000,0.004 (0.005),0.999 (0.002)
44,200845,1000.000,balanced,24.000,5.000,0.000,2.000,508.1 (28.1),502.000,0.004 (0.004),0.999 (0.001),557.3 (29.5),550.000,0.004 (0.004),0.999 (0.001),579.6 (30),572.000,0.004 (0.004),0.999 (0.001),602.8 (32.2),594.000,0.004 (0.004),0.999 (0.001)
39,200840, 250.000,semi-balanced,12.000,5.000,0.000,2.000,110.7 (16.3),106.000,0.013 (0.013),0.993 (0.010),135 (18.1),130.000,0.012 (0.012),0.992 (0.011),145 (19.1),140.000,0.012 (0.012),0.992 (0.011),155.3 (20.4),150.000,0.012 (0.012),0.991 (0.012)
45,200846, 250.000,semi-balanced,24.000,5.000,0.000,2.000,512.5 (28.7),502.000,0.008 (0.008),0.995 (0.006),560.7 (29.5),550.000,0.008 (0.008),0.995 (0.006),582.1 (29.6),572.000,0.008 (0.008),0.995 (0.006),603 (30.5),594.000,0.007 (0.008),0.996 (0.006)
40,200841,1000.000,semi-balanced,12.000,5.000,0.000,2.000,103.1 (11.9),106.000,0.003 (0.005),0.999 (0.001),126.7 (13.2),130.000,0.003 (0.004),0.999 (0.002),137.7 (14.2),140.000,0.003 (0.005),0.999 (0.002),147.8 (15.6),150.000,0.003 (0.005),0.999 (0.002)
46,200847,1000.000,semi-balanced,24.000,5.000,0.000,2.000,504.6 (26.3),502.000,0.003 (0.004),0.999 (0.001),552.5 (27.4),550.000,0.003 (0.004),0.999 (0.001),574.3 (30),572.000,0.003 (0.004),0.999 (0.001),596.7 (32.2),594.000,0.003 (0.004),0.999 (0.001)
41,200842, 250.000,unbalanced,12.000,5.000,0.000,2.000,108.9 (14.4),106.000,0.011 (0.012),0.994 (0.008),133.2 (15.6),130.000,0.011 (0.011),0.994 (0.009),143.4 (17),140.000,0.011 (0.011),0.993 (0.010),153.5 (19),150.000,0.011 (0.012),0.992 (0.010)
47,200848, 250.000,unbalanced,24.000,5.000,0.000,2.000,516.7 (23.2),502.000,0.010 (0.007),0.995 (0.005),565.6 (24.2),550.000,0.009 (0.007),0.995 (0.005),588.9 (24.8),572.000,0.010 (0.007),0.995 (0.005),609.7 (26.8),594.000,0.009 (0.007),0.995 (0.006)
42,200843,1000.000,unbalanced,12.000,5.000,0.000,2.000,107.0 (15.1),106.000,0.005 (0.006),0.999 (0.002),131 (16.9),130.000,0.005 (0.006),0.999 (0.002),140.6 (17.9),140.000,0.004 (0.005),0.999 (0.002),151.1 (19.2),150.000,0.005 (0.005),0.998 (0.002)
48,200849,1000.000,unbalanced,24.000,5.000,0.000,2.000,508.8 (29.8),502.000,0.004 (0.004),0.999 (0.001),556.9 (30.5),550.000,0.004 (0.004),0.999 (0.001),577.8 (32),572.000,0.004 (0.004),0.999 (0.001),600 (34.1),594.000,0.004 (0.004),0.999 (0.001)
