,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Thr_comb,NoARS_Load_chi,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Load_comb,NoARS_Int_chi,NoARS_Int_RMSEA,NoARS_Int_cfi,NoARS_Int_comb
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.050,0.010,0.000,0.000,0.060,0.010,0.010,0.010,0.860,0.730,0.710,0.770
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.020,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.930,0.320,0.500,0.530
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.080,0.000,0.000,0.000,1.000,0.980,1.000,1.000
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.050,0.000,0.000,0.000,0.080,0.000,0.000,0.000,1.000,0.460,0.910,0.920
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.040,0.000,0.000,0.000,0.070,0.050,0.020,0.030,0.650,0.460,0.450,0.500
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.100,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.940,0.210,0.380,0.430
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.070,0.000,0.000,0.000,1.000,0.870,0.870,0.910
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.040,0.000,0.000,0.000,1.000,0.430,0.910,0.910
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,0.000,0.000,0.010,0.010,0.000,0.000,0.040,0.070,0.010,0.040,0.030,0.090,0.010,0.030
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.010,0.000,0.000,0.000
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,0.000,0.000,0.040,0.000,0.000,0.000,0.040,0.010,0.000,0.010,0.020,0.010,0.000,0.010
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.040,0.000,0.000,0.000
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,1.000,1.000,0.060,0.000,0.150,0.040,0.140,0.000,0.000,0.000,1.000,0.370,0.990,0.990
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,1.000,0.000,0.760,0.760
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,1.000,1.000,0.090,0.000,0.480,0.080,0.240,0.000,0.000,0.000,1.000,0.610,1.000,1.000
32,200833,1000.000,balanced,24.000,5.000,0.600,1.000,1.000,1.000,0.030,0.000,0.000,0.000,0.090,0.000,0.000,0.000,1.000,0.000,1.000,1.000
27,200828, 250.000,semi-balanced,12.000,5.000,0.600,1.000,1.000,0.990,0.050,0.000,0.120,0.020,0.160,0.000,0.000,0.000,1.000,0.100,0.830,0.830
33,200834, 250.000,semi-balanced,24.000,5.000,0.600,1.000,1.000,1.000,0.030,0.000,0.000,0.000,0.100,0.000,0.000,0.000,1.000,0.000,0.750,0.750
28,200829,1000.000,semi-balanced,12.000,5.000,0.600,1.000,1.000,1.000,0.070,0.000,0.410,0.050,0.420,0.000,0.000,0.000,1.000,0.020,1.000,1.000
34,200835,1000.000,semi-balanced,24.000,5.000,0.600,1.000,1.000,1.000,0.060,0.000,0.000,0.000,0.110,0.000,0.000,0.000,1.000,0.000,1.000,1.000
29,200830, 250.000,unbalanced,12.000,5.000,0.600,1.000,0.000,0.000,0.020,0.020,0.000,0.000,0.070,0.090,0.000,0.050,0.020,0.050,0.000,0.010
35,200836, 250.000,unbalanced,24.000,5.000,0.600,1.000,0.000,0.000,0.020,0.000,0.000,0.000,0.050,0.030,0.000,0.020,0.030,0.040,0.000,0.030
30,200831,1000.000,unbalanced,12.000,5.000,0.600,1.000,0.000,0.000,0.050,0.000,0.000,0.000,0.110,0.050,0.000,0.040,0.030,0.010,0.000,0.010
36,200837,1000.000,unbalanced,24.000,5.000,0.600,1.000,0.000,0.000,0.100,0.000,0.000,0.000,0.120,0.010,0.000,0.010,0.070,0.000,0.000,0.000
