,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Thr_comb,NoARS_Load_chi,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Load_comb,NoARS_Int_chi,NoARS_Int_RMSEA,NoARS_Int_cfi,NoARS_Int_comb
1,200802, 250.000,balanced,12.000,5.000,0.000,1.000,0.000,0.000,0.060,0.030,0.000,0.030,0.050,0.080,0.010,0.050,0.070,0.130,0.010,0.050
7,200808, 250.000,balanced,24.000,5.000,0.000,1.000,0.000,0.000,0.040,0.000,0.000,0.000,0.070,0.020,0.000,0.010,0.040,0.010,0.000,0.010
2,200803,1000.000,balanced,12.000,5.000,0.000,1.000,0.000,0.000,0.050,0.000,0.000,0.000,0.050,0.010,0.000,0.010,0.100,0.060,0.000,0.050
8,200809,1000.000,balanced,24.000,5.000,0.000,1.000,0.000,0.000,0.040,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.040,0.000,0.000,0.000
3,200804, 250.000,semi-balanced,12.000,5.000,0.000,1.000,0.000,0.000,0.010,0.000,0.000,0.000,0.060,0.100,0.010,0.030,0.030,0.070,0.030,0.030
9,200810, 250.000,semi-balanced,24.000,5.000,0.000,1.000,0.000,0.000,0.040,0.000,0.000,0.000,0.040,0.010,0.000,0.010,0.060,0.020,0.000,0.010
4,200805,1000.000,semi-balanced,12.000,5.000,0.000,1.000,0.000,0.000,0.070,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.010,0.020,0.000,0.010
10,200811,1000.000,semi-balanced,24.000,5.000,0.000,1.000,0.000,0.000,0.040,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.070,0.000,0.000,0.000
5,200806, 250.000,unbalanced,12.000,5.000,0.000,1.000,0.000,0.000,0.070,0.020,0.000,0.020,0.090,0.140,0.010,0.070,0.020,0.030,0.010,0.020
11,200812, 250.000,unbalanced,24.000,5.000,0.000,1.000,0.000,0.000,0.020,0.000,0.000,0.000,0.040,0.010,0.000,0.000,0.040,0.010,0.000,0.000
6,200807,1000.000,unbalanced,12.000,5.000,0.000,1.000,0.000,0.000,0.070,0.000,0.000,0.000,0.040,0.010,0.000,0.010,0.040,0.020,0.000,0.010
12,200813,1000.000,unbalanced,24.000,5.000,0.000,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.020,0.000,0.000,0.000
37,200838, 250.000,balanced,12.000,5.000,0.000,2.000,0.000,0.000,0.060,0.000,0.000,0.000,0.060,0.050,0.060,0.060,0.030,0.000,0.020,0.020
43,200844, 250.000,balanced,24.000,5.000,0.000,2.000,0.000,0.000,0.020,0.000,0.000,0.000,0.050,0.010,0.000,0.010,0.070,0.010,0.000,0.010
38,200839,1000.000,balanced,12.000,5.000,0.000,2.000,0.000,0.000,0.050,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.050,0.010,0.000,0.010
44,200845,1000.000,balanced,24.000,5.000,0.000,2.000,0.000,0.000,0.090,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.060,0.000,0.000,0.000
39,200840, 250.000,semi-balanced,12.000,5.000,0.000,2.000,0.000,0.000,0.060,0.000,0.000,0.000,0.080,0.080,0.050,0.060,0.060,0.040,0.050,0.050
45,200846, 250.000,semi-balanced,24.000,5.000,0.000,2.000,0.000,0.000,0.010,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.060,0.010,0.000,0.010
40,200841,1000.000,semi-balanced,12.000,5.000,0.000,2.000,0.000,0.000,0.050,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.040,0.000,0.000,0.000
46,200847,1000.000,semi-balanced,24.000,5.000,0.000,2.000,0.000,0.000,0.070,0.000,0.000,0.000,0.070,0.000,0.000,0.000,0.070,0.000,0.000,0.000
41,200842, 250.000,unbalanced,12.000,5.000,0.000,2.000,0.000,0.000,0.060,0.000,0.000,0.000,0.070,0.030,0.010,0.020,0.060,0.040,0.050,0.050
47,200848, 250.000,unbalanced,24.000,5.000,0.000,2.000,0.000,0.000,0.060,0.000,0.000,0.000,0.070,0.000,0.000,0.000,0.050,0.020,0.000,0.020
42,200843,1000.000,unbalanced,12.000,5.000,0.000,2.000,0.000,0.000,0.050,0.000,0.000,0.000,0.030,0.010,0.000,0.010,0.070,0.000,0.000,0.000
48,200849,1000.000,unbalanced,24.000,5.000,0.000,2.000,0.000,0.000,0.060,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.030,0.000,0.000,0.000
